Timestamp,Log Message,Message,User Path,Customer Path,Lot ID,Wafer ID,Port ID,Date,Time
2022-01-10 16:16:57.429000,Duration = 00:01:20<Wafer Run - Lot name: DSW\Matching_Completed\a09bfbbvv_PM. Wafer ID: @10@002. Port No: 1>,00:01:20,DSW,Matching_Completed,a09bfbbvv_PM. ,@10@002. ,1,2022-01-10 00:00:00,16:16:57.429000
2022-01-10 16:18:18.301000,Duration = 00:01:21<Wafer Run - Lot name: DSW\Matching_Completed\a09bfbbvv_PM. Wafer ID: @10@003. Port No: 1>,00:01:21,DSW,Matching_Completed,a09bfbbvv_PM. ,@10@003. ,1,2022-01-10 00:00:00,16:18:18.301000
2022-01-10 16:18:29.563000,Lot End <DSW\Matching_Completed\a09bfbbvv_PM>,Lot End ,DSW,Matching_Completed,a09bfbbvv_PM,,,2022-01-10 00:00:00,16:18:29.563000
2022-01-10 16:18:30.256000,Lot Start <DSW\Matching_Completed\a09bfudb_PM>,Lot Start ,DSW,Matching_Completed,a09bfudb_PM,,,2022-01-10 00:00:00,16:18:30.256000
2022-01-10 16:20:24.174000,Duration = 00:01:28<Wafer Run - Lot name: DSW\Matching_Completed\a09bfudb_PM. Wafer ID: @10@001. Port No: 1>,00:01:28,DSW,Matching_Completed,a09bfudb_PM. ,@10@001. ,1,2022-01-10 00:00:00,16:20:24.174000
2022-01-10 16:21:49.732000,Duration = 00:01:24<Wafer Run - Lot name: DSW\Matching_Completed\a09bfudb_PM. Wafer ID: @10@002. Port No: 1>,00:01:24,DSW,Matching_Completed,a09bfudb_PM. ,@10@002. ,1,2022-01-10 00:00:00,16:21:49.732000
2022-01-10 16:23:13.875000,Duration = 00:01:22<Wafer Run - Lot name: DSW\Matching_Completed\a09bfudb_PM. Wafer ID: @10@003. Port No: 1>,00:01:22,DSW,Matching_Completed,a09bfudb_PM. ,@10@003. ,1,2022-01-10 00:00:00,16:23:13.875000
2022-01-10 16:23:24.626000,Lot End <DSW\Matching_Completed\a09bfudb_PM>,Lot End ,DSW,Matching_Completed,a09bfudb_PM,,,2022-01-10 00:00:00,16:23:24.626000
2022-01-10 16:23:26.481000,Lot Start <DSW\Matching_Completed\a09vdsbb_PM>,Lot Start ,DSW,Matching_Completed,a09vdsbb_PM,,,2022-01-10 00:00:00,16:23:26.481000
2022-01-10 16:25:47.506000,Duration = 00:01:54<Wafer Run - Lot name: DSW\Matching_Completed\a09vdsbb_PM. Wafer ID: @10@001. Port No: 1>,00:01:54,DSW,Matching_Completed,a09vdsbb_PM. ,@10@001. ,1,2022-01-10 00:00:00,16:25:47.506000
2022-01-10 16:27:05.198000,Duration = 00:01:18<Wafer Run - Lot name: DSW\Matching_Completed\a09vdsbb_PM. Wafer ID: @10@002. Port No: 1>,00:01:18,DSW,Matching_Completed,a09vdsbb_PM. ,@10@002. ,1,2022-01-10 00:00:00,16:27:05.198000
2022-01-10 16:28:25.317000,Duration = 00:01:20<Wafer Run - Lot name: DSW\Matching_Completed\a09vdsbb_PM. Wafer ID: @10@003. Port No: 1>,00:01:20,DSW,Matching_Completed,a09vdsbb_PM. ,@10@003. ,1,2022-01-10 00:00:00,16:28:25.317000
2022-01-10 16:28:36.657000,Lot End <DSW\Matching_Completed\a09vdsbb_PM>,Lot End ,DSW,Matching_Completed,a09vdsbb_PM,,,2022-01-10 00:00:00,16:28:36.657000
2022-01-10 16:28:38.481000,Lot Start <DSW\Matching_Completed\r09hcbb_PM>,Lot Start ,DSW,Matching_Completed,r09hcbb_PM,,,2022-01-10 00:00:00,16:28:38.481000
2022-01-10 16:30:55.431000,Duration = 00:01:50<Wafer Run - Lot name: DSW\Matching_Completed\r09hcbb_PM. Wafer ID: @10@001. Port No: 1>,00:01:50,DSW,Matching_Completed,r09hcbb_PM. ,@10@001. ,1,2022-01-10 00:00:00,16:30:55.431000
